nombre,sector,precio,area,publicador1,publicador2,tiempo_publicacion,finalizado,fecha_venta
900 m² de Terreno Sector Las Balvinas Urbanizado y a La Via Principal con Buses,"Los Chillos, Quito",USD 67.000,0 Baños,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 59 días,,
Terreno en Venta Sector Los Chillos,"Los Chillos, Quito",USD 49.000,0 Baños,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,/logo_bolsa-inmobiliaria-nacional_1552021719240.jpg,Publicado hace 53 días,,
"Terreno en Venta, Plano, en Calle Principal, Sangolqui","Sangolqui, Quito",USD 55.000,0 Baños,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 101 días,,
"Cumbayá - Tanda, Hermoso Terreno en Venta, 850 m²","Nayón - Tanda, Quito",USD 200.000,0 Baños,/logo_corporacion-vyasa_1552611954132.jpg,/logo_corporacion-vyasa_1552611954132.jpg,Publicado hace 32 días,,
Terreno de 2 Mil m en Tababela,"Tababela, Quito",USD 138.000,0 Baños,/logo_remax-100_1539119191357.jpg,/logo_remax-100_1539119191357.jpg,Publicado hace 261 días,,
"Terreno 1011 m² Cumbaya en Urbanización, Oportunidad $290.000","Cumbayá, Quito",USD 260.000,4 Estacionamientos,/logo_la-inmobiliaria_1521144024221.jpg,/logo_la-inmobiliaria_1521144024221.jpg,Publicado hace 337 días,,
Terreno de Venta en El Valle de Los Chillos,"Conocoto, Quito",USD 220.000,0 Baños,/logo_re-max-ability_1536882413859.jpg,/logo_re-max-ability_1536882413859.jpg,Publicado hace 122 días,,
"Lindo Terreno Totalmente Plano, con Cerramiento y Construcción en Calderón","Calderón, Quito",USD 60.000,0 Baños,/logo_carolina-herrera_1540322349578.jpg,/logo_carolina-herrera_1540322349578.jpg,Publicado hace 26 días,,
Terreno en Cumbayá Para Proyecto,"Cumbayá, Quito",USD 1.750.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 36 días,,
Venta de Terreno en Conocoto Sector El Chamizal,"Conocoto, Quito",USD 140.000,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 3 días,,
Terreno en Calle Principal de La Josefina,"Carcelén, Quito",USD 60.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 40 días,,
Vendo Amplio Terreno de 220 m² Ubicado en Sector Comercial La Florida,"Norte de Quito, Quito",USD 150.000,5 Estacionamientos,/placeholder-img.png,/placeholder-img.png,Publicado hace 84 días,,
Terreno Lotizado en Venta - Sector La Pampa - Mav,"Mitad del Mundo, Quito",USD 931.000,0 Baños,/logo_remax-sol_1583189552262.jpg,/logo_remax-sol_1583189552262.jpg,Publicado hace 46 días,,
En Venta Terreno Excelente Ubicacion 2200 m² - 0 9 9 9 9 2 9 8 1 9,"Tumbaco, Quito",USD 346.000,1 Baño,/logo_diana-navas_1602880961810.jpg,/logo_diana-navas_1602880961810.jpg,Publicado hace 5 días,,
En Venta Expectacular Terreno en Cumbaya - 0 9 9 9 9 2 9 8 1 9,"Cumbayá, Quito",USD 360.000,0 Baños,/logo_diana-navas_1602880961810.jpg,/logo_diana-navas_1602880961810.jpg,Publicado hace 5 días,,
Oportunidad Vendo Terreno Conocoto,"Conocoto, Quito",USD 256.500.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 2 días,,
Terreno en Venta!en Excelente Sector de Tumbaco!,"Tumbaco, Quito",USD 220.000,0 Baños,/logo_re-max-ability_1536882413859.jpg,/logo_re-max-ability_1536882413859.jpg,Publicado hace 94 días,,
Terreno de Venta Sector Capelo La Ribera,"San Rafael, Quito",USD 80.000,0 Baños,/logo_r-m-andrade_1562123643538.jpg,/logo_r-m-andrade_1562123643538.jpg,Publicado hace 26 días,,
Terreno de Venta Quito Mastodontes,"Carcelén, Quito",USD 135.000,0 Baños,/logo_re-max-ability_1536882413859.jpg,/logo_re-max-ability_1536882413859.jpg,Publicado hace 38 días,,
Calderon Vendo Terreno de 2445 m² Ee,"Calderón, Quito",USD 149.000,0 Baños,/logo_inmokasa_1554220831093.jpg,/logo_inmokasa_1554220831093.jpg,Publicado hace 331 días,,
"Espectacular 680 m, en La Mejor Urb. del Sector Los Chillos, Alta Plusvalia","Los Chillos, Quito",USD 85.500,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 108 días,,
Terreno en Venta - Las Casas.,"Las Casas, Quito",USD 228.000,0 Baños,/logo_re-max-capital_1536878679517.jpg,/logo_re-max-capital_1536878679517.jpg,Publicado hace 61 días,,
"Espectacular Terreno de 908 m², 8 Pisos","Centro Norte, Quito",USD 880.000,0 Baños,/logo_match-inmobiliaria_1596571732726.jpg,/logo_match-inmobiliaria_1596571732726.jpg,Publicado hace 80 días,,
"Vendo Lote Urbanización Los Arrayanes 1292,21 m² Puembo","Puembo, Quito",USD 400.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 23 días,,
Venta de Terreno en La Merced 1106 m²,"Los Chillos, Quito",USD 55.000,0 Baños,/logo_remax-100_1539119191357.jpg,/logo_remax-100_1539119191357.jpg,Publicado hace 91 días,,
Vendo Terreno Comercial Centro Norte en La Av 6 de Diciembre 2848 m²,"El Inca, Quito",USD 1.528.000,60 Estacionamientos,/logo_juan-carlos-torres.jpg,/logo_juan-carlos-torres.jpg,Publicado hace 299 días,,
Oportunidad Tumbaco Exclusivo $165.000,"Tumbaco, Quito",USD 165.000,0 Baños,/logo_paulina-cruz_0.jpg,/logo_paulina-cruz_0.jpg,Publicado hace 10 días,,
Vendo Terreno Sector San Antonio de Pichinca,"Mitad del Mundo, Quito",USD 206.732,1 Baño,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,/logo_re-max-asesoria-inmobiliaria_1538597763759.jpg,Publicado hace 5 días,,
